SAMPLE_1	SAMPLE_10	SAMPLE_11	SAMPLE_12	SAMPLE_13	SAMPLE_14	SAMPLE_15	SAMPLE_16	SAMPLE_17	SAMPLE_18	SAMPLE_19	SAMPLE_2	SAMPLE_20	SAMPLE_21	SAMPLE_22	SAMPLE_23	SAMPLE_24	SAMPLE_25	SAMPLE_26	SAMPLE_27	SAMPLE_28	SAMPLE_29	SAMPLE_3	SAMPLE_30	SAMPLE_31	SAMPLE_32	SAMPLE_33	SAMPLE_34	SAMPLE_35	SAMPLE_4	SAMPLE_5	SAMPLE_6	SAMPLE_7	SAMPLE_8	SAMPLE_9
SAMPLE_1	0	0.698722077912614	0.986961159597745	0.882867255384875	0.716009928410776	0.703286481641796	0.6826835932761	0.714130571665274	0.678678374093643	0.379929269574296	0.845290244017292	0.961107224247945	0.348340627137702	0.677169729706478	0.71716881264368	0.71613577023499	0.787010234984546	0.627305582231214	0.189149062723786	0.669337566106213	0.692113232181811	0.376322029806718	0.650705523406526	0.693498513185342	0.711940009497475	0.704346958191449	0.70847247685931	0.711358732126121	0.722893939875874	0.716307098841581	0.985329535297644	0.880914510789976	0.69577088287007	0.707764003486893	0.708122429976229
SAMPLE_10	0.698722077912614	0	0.998413503688368	0.895181725362511	0.128928971663392	0.277269410877523	0.627675932513197	0.0190776668329668	0.299612717935216	0.327078083831728	0.845861377157462	0.995185547192872	0.667611769764151	0.0508007120211066	0.0195135372687213	0.106153926177386	0.895001205951084	0.319724883420494	0.755681590038529	0.99233849619847	0.998535190039385	0.603678071405165	0.978644266799713	0.940498638210715	0.13920865628305	0.703826418620606	0.0687074257842065	0.0282582759027224	0.959349242812855	0.0193924614689289	0.991169145929492	0.976636882558223	0.10971278255639	0.138108483624514	0.20342902373372
SAMPLE_11	0.986961159597745	0.998413503688368	0	0.383702348612503	0.99173816735878	0.947779301808563	0.853320851095747	0.998080315732411	0.812507810953631	0.99667483645222	0.962746989592353	0.410956331111579	0.967693978618491	0.980284163271467	0.985203150197858	0.998051781735695	0.946575243809469	0.87945924551535	0.992406160761559	0.992332069460779	0.517874331748935	0.873554927345104	0.466512630830714	0.434653170682071	0.883506675093381	0.630066532272534	0.980780948636323	0.983935326777676	0.92461508110548	0.995125055383467	0.353603011434415	0.828210680148525	0.95373630069997	0.995126185425573	0.817753340619163
SAMPLE_12	0.882867255384875	0.895181725362511	0.383702348612503	0	0.86659715504017	0.857345351895451	0.842153676086145	0.894993624821753	0.879910403055988	0.892902090075985	0.888959325472561	0.407835968361495	0.887266626736723	0.871862336889399	0.882116459287199	0.895370711948739	0.90152759085321	0.848942215412233	0.86720740770318	0.989165345354025	0.510820539664734	0.736375820683537	0.628441217838864	0.373968598529426	0.781146821332067	0.888549664458979	0.867327018050913	0.881007769819889	0.929872251377861	0.892087031346374	0.408861563633061	0.980178753029937	0.845160751181006	0.891661324460106	0.841115468496676
SAMPLE_13	0.716009928410776	0.128928971663392	0.99173816735878	0.86659715504017	0	0.156590940910743	0.621199797502859	0.126752718997419	0.314832759527379	0.343854500176028	0.859854241723996	0.994334415051013	0.68405271887328	0.12487750541576	0.12368698406185	0.127593134549253	0.910143178720333	0.226997539624914	0.752095042955832	0.998685869116749	0.997946572296051	0.609010352944836	0.993973742430533	0.955688060505064	0.139104536770881	0.716408398729167	0.110528648499645	0.122327655347557	0.852124407202306	0.129026492728231	0.990731550019665	0.994511864574307	0.123285865256264	0.142370577156693	0.203608636636318
SAMPLE_14	0.703286481641796	0.277269410877523	0.947779301808563	0.857345351895451	0.156590940910743	0	0.486473498071282	0.281691481332486	0.271916948933206	0.333903425061846	0.823553492658829	0.97231984890555	0.649363744061657	0.27190132659858	0.277786122930738	0.281662947335769	0.871786679577035	0.177884028117842	0.741850222076175	0.931231440283764	0.997870749657574	0.5651019018561	0.95194389135385	0.950875210399861	0.281441806181705	0.673766322559026	0.250877031973204	0.263105336162443	0.806917186516325	0.278430236090383	0.954064217818337	0.856566786477327	0.271604600735872	0.265079494362977	0.219016294056253
SAMPLE_15	0.6826835932761	0.627675932513197	0.853320851095747	0.842153676086145	0.621199797502859	0.486473498071282	0	0.644509319685966	0.502165709116071	0.616421365091582	0.814801974999919	0.972019194084747	0.639241303335047	0.619271399188428	0.631909425465594	0.644480785689249	0.8535096542018	0.505554371429998	0.724945609378874	0.904203920775397	0.99862763482588	0.550125962410158	0.859740781804192	0.93405772525593	0.644848400291644	0.592317337972038	0.609188897617796	0.627834959880028	0.863213027204369	0.642758448998146	0.932640648347246	0.717042576778112	0.625341732848476	0.630280238782768	0.493546426801226
SAMPLE_16	0.714130571665274	0.0190776668329668	0.998080315732411	0.894993624821753	0.126752718997419	0.281691481332486	0.644509319685966	0	0.316499480520225	0.344323846526082	0.859515392739783	0.994955294498254	0.683695578561812	0.0587027741322582	0.0141569739910721	0.104771280556474	0.907790807320612	0.336953336776519	0.773607778481666	0.999117638252985	0.999266959882714	0.619930497118704	0.996222491056933	0.959185842518968	0.140214429424266	0.715897148380068	0.074007447526574	0.0290244381954353	0.96981189346773	0.0110870987031912	0.991608123088299	0.994404661988191	0.106451074696996	0.143208744390835	0.208622425359543
SAMPLE_17	0.678678374093643	0.299612717935216	0.812507810953631	0.879910403055988	0.314832759527379	0.271916948933206	0.502165709116071	0.316499480520225	0	0.306329504974154	0.810247169180318	0.968944804690811	0.616957156737023	0.301136365793715	0.309740255259427	0.316575019448019	0.82745407569141	0.188975140961326	0.733973841546523	0.992191348513988	0.99700778634789	0.536207787267349	0.763279750237964	0.920394322597462	0.317108248580579	0.445223102377622	0.29544167594687	0.301935814235573	0.878797399538287	0.31473339653406	0.913601939267001	0.802400335701183	0.302516137068938	0.307674300839389	0.16847674518203
SAMPLE_18	0.379929269574296	0.327078083831728	0.99667483645222	0.892902090075985	0.343854500176028	0.333903425061846	0.616421365091582	0.344323846526082	0.306329504974154	0	0.845606461141167	0.994730038089052	0.346943369032038	0.335014923333669	0.344288606608532	0.343891134223861	0.792456215671518	0.262705797929886	0.492065692229564	0.990400473376642	0.998997941441415	0.452753021017351	0.957652215465373	0.91330010856504	0.344452343612381	0.703882632740187	0.336664476981094	0.338268972565169	0.726524703327197	0.345207224009497	0.991368690118587	0.889812898453542	0.34236136341246	0.334077416808089	0.334450973967988
SAMPLE_19	0.845290244017292	0.845861377157462	0.962746989592353	0.888959325472561	0.859854241723996	0.823553492658829	0.814801974999919	0.859515392739783	0.810247169180318	0.845606461141167	0	0.971838178517816	0.82104208939648	0.851864321544878	0.859896171084456	0.859919571045288	0.864315740863665	0.810265409594945	0.845641033731206	0.992879903971333	0.997433125515227	0.810302204922867	0.94732250639999	0.929202630001569	0.859329596849661	0.812662314863519	0.843670139291113	0.847259409780765	0.932821410978428	0.856917849727727	0.956360157327723	0.947027773976802	0.853197939327881	0.853063932395647	0.818105712082604
SAMPLE_2	0.961107224247945	0.995185547192872	0.410956331111579	0.407835968361495	0.994334415051013	0.97231984890555	0.972019194084747	0.994955294498254	0.968944804690811	0.994730038089052	0.971838178517816	0	0.974210906751234	0.966035786713686	0.995474240483712	0.995332064308092	0.96607801671641	0.955806630007793	0.966135573333788	0.96952023806874	0.488834891054214	0.905958086709745	0.588364294559671	0.295518009173957	0.881321238865164	0.972071291768598	0.987684706240076	0.987542126714161	0.971771633184181	0.992988674291987	0.182449450214489	0.968343641717901	0.952572658842204	0.99498248339135	0.969332322262852
SAMPLE_20	0.348340627137702	0.667611769764151	0.967693978618491	0.887266626736723	0.68405271887328	0.649363744061657	0.639241303335047	0.683695578561812	0.616957156737023	0.346943369032038	0.82104208939648	0.974210906751234	0	0.676763169200081	0.684203858555843	0.685083077909137	0.768139017934225	0.573375520345288	0.495695711774098	0.991399793866375	0.997637788462922	0.488389316366522	0.927503987420884	0.913594810845336	0.684663474111145	0.672737188725302	0.669035108461114	0.670158973931445	0.707004368699588	0.682765506159462	0.961865126724909	0.859660434425862	0.678182665533392	0.675557415533012	0.643266335095757
SAMPLE_21	0.677169729706478	0.0508007120211066	0.980284163271467	0.871862336889399	0.12487750541576	0.27190132659858	0.619271399188428	0.0587027741322582	0.301136365793715	0.335014923333669	0.851864321544878	0.966035786713686	0.676763169200081	0	0.0462893081010077	0.104807942155076	0.903027231705097	0.318069618320015	0.731101750272153	0.960612737606197	0.967902037695325	0.564678200584884	0.955712499175236	0.918127094150489	0.139442278340043	0.708418478550047	0.0615296250238671	0.05079684682049	0.95219667562696	0.0595372523586464	0.991143286385546	0.981789888573899	0.0845439373454186	0.134559878013887	0.184813521567343
