SAMPLE_1	SAMPLE_10	SAMPLE_11	SAMPLE_12	SAMPLE_13	SAMPLE_14	SAMPLE_15	SAMPLE_16	SAMPLE_17	SAMPLE_18	SAMPLE_19	SAMPLE_2	SAMPLE_20	SAMPLE_21	SAMPLE_22	SAMPLE_23	SAMPLE_24	SAMPLE_25	SAMPLE_26	SAMPLE_27	SAMPLE_28	SAMPLE_29	SAMPLE_3	SAMPLE_30	SAMPLE_31	SAMPLE_32	SAMPLE_33	SAMPLE_34	SAMPLE_35	SAMPLE_4	SAMPLE_5	SAMPLE_6	SAMPLE_7	SAMPLE_8	SAMPLE_9
SAMPLE_1	0	0.833333333333333	0.847826086956522	0.833333333333333	0.891891891891892	0.87719298245614	0.857142857142857	0.823529411764706	0.810810810810811	0.794117647058823	0.875	0.724137931034483	0.8	0.787878787878788	0.882352941176471	0.903225806451613	0.883333333333333	0.916666666666667	0.8125	0.741935483870968	0.827586206896552	0.808510638297872	0.818181818181818	0.838709677419355	0.870967741935484	0.833333333333333	0.837837837837838	0.822222222222222	0.777777777777778	0.703703703703704	0.806451612903226	0.836734693877551	0.717391304347826	0.828571428571429	0.863636363636364
SAMPLE_10	0.833333333333333	0	0.935483870967742	0.897435897435897	0.894736842105263	0.952380952380952	0.96	0.888888888888889	0.8	0.764705882352941	0.857142857142857	0.692307692307692	0.842105263157895	0.75	0.875	0.833333333333333	0.931818181818182	0.95	0.8	0.8125	0.833333333333333	0.875	0.896551724137931	0.769230769230769	0.75	0.9	0.85	0.862068965517241	0.857142857142857	0.75	0.785714285714286	0.911764705882353	0.885714285714286	0.833333333333333	0.888888888888889
SAMPLE_11	0.847826086956522	0.935483870967742	0	0.64	0.82051282051282	0.69811320754717	0.833333333333333	0.928571428571429	0.675675675675676	0.878048780487805	0.828571428571429	0.727272727272727	0.853658536585366	0.783783783783784	0.805555555555556	0.945945945945946	0.875	0.864583333333333	0.868421052631579	0.842105263157895	0.885714285714286	0.644444444444444	0.704545454545455	0.861111111111111	0.918918918918919	0.794871794871795	0.8	0.816326530612245	0.86046511627907	0.75	0.6875	0.851851851851852	0.814814814814815	0.878048780487805	0.658536585365854
SAMPLE_12	0.833333333333333	0.897435897435897	0.64	0	0.755555555555555	0.704918032786885	0.791666666666667	0.9	0.74468085106383	0.755555555555555	0.866666666666667	0.731707317073171	0.733333333333333	0.72093023255814	0.795454545454545	0.934782608695652	0.845070422535211	0.797979797979798	0.767441860465116	0.714285714285714	0.804878048780488	0.551020408163265	0.781818181818182	0.813953488372093	0.91304347826087	0.86	0.791666666666667	0.716981132075472	0.843137254901961	0.75	0.818181818181818	0.758620689655172	0.745762711864407	0.782608695652174	0.617021276595745
SAMPLE_13	0.891891891891892	0.894736842105263	0.82051282051282	0.755555555555555	0	0.760869565217391	0.879310344827586	0.730769230769231	0.84375	0.827586206896552	0.925925925925926	0.846153846153846	0.870967741935484	0.777777777777778	0.45	0.826086956521739	0.846153846153846	0.885057471264368	0.807692307692308	0.857142857142857	0.875	0.710526315789474	0.902439024390244	0.884615384615385	0.88	0.970588235294118	0.8	0.82051282051282	0.806451612903226	0.88	0.928571428571429	0.936170212765957	0.818181818181818	0.785714285714286	0.805555555555556
SAMPLE_14	0.87719298245614	0.952380952380952	0.69811320754717	0.704918032786885	0.760869565217391	0	0.580645161290323	0.943396226415094	0.75	0.787234042553192	0.869565217391304	0.795454545454545	0.765957446808511	0.833333333333333	0.875	0.958333333333333	0.893333333333333	0.762886597938144	0.714285714285714	0.804347826086956	0.91304347826087	0.736842105263158	0.785714285714286	0.893617021276596	0.914893617021277	0.84	0.795918367346939	0.767857142857143	0.867924528301887	0.785714285714286	0.795454545454545	0.622641509433962	0.863636363636364	0.8125	0.625
SAMPLE_15	0.857142857142857	0.96	0.833333333333333	0.791666666666667	0.879310344827586	0.580645161290323	0	0.950819672131147	0.866666666666667	0.818181818181818	0.888888888888889	0.890909090909091	0.8	0.836363636363636	0.892857142857143	0.964285714285714	0.916666666666667	0.836363636363636	0.784313725490196	0.854545454545455	0.945454545454545	0.805970149253731	0.882352941176471	0.928571428571429	0.964912280701754	0.9	0.824561403508772	0.833333333333333	0.885245901639344	0.865384615384615	0.910714285714286	0.714285714285714	0.878378378378378	0.818181818181818	0.678571428571428
SAMPLE_16	0.823529411764706	0.888888888888889	0.928571428571429	0.9	0.730769230769231	0.943396226415094	0.950819672131147	0	0.875	0.9	0.88	0.84	0.740740740740741	0.896551724137931	0.695652173913044	0.869565217391304	0.795918367346939	0.933333333333333	0.928571428571429	0.931034482758621	0.916666666666667	0.857142857142857	0.926829268292683	0.962962962962963	0.92	0.903225806451613	0.833333333333333	0.815789473684211	0.666666666666667	0.875	0.925925925925926	0.934782608695652	0.813953488372093	0.862068965517241	0.894736842105263
SAMPLE_17	0.810810810810811	0.8	0.675675675675676	0.74468085106383	0.84375	0.75	0.866666666666667	0.875	0	0.806451612903226	0.769230769230769	0.565217391304348	0.733333333333333	0.758620689655172	0.827586206896552	0.888888888888889	0.854545454545455	0.80952380952381	0.827586206896552	0.833333333333333	0.8	0.761904761904762	0.545454545454545	0.769230769230769	0.892857142857143	0.642857142857143	0.655172413793103	0.710526315789474	0.787878787878788	0.708333333333333	0.625	0.738095238095238	0.777777777777778	0.806451612903226	0.756756756756757
SAMPLE_18	0.794117647058823	0.764705882352941	0.878048780487805	0.755555555555555	0.827586206896552	0.787234042553192	0.818181818181818	0.9	0.806451612903226	0	0.884615384615385	0.8	0.75	0.68	0.851851851851852	0.875	0.928571428571429	0.831325301204819	0.590909090909091	0.545454545454545	0.92	0.833333333333333	0.875	0.84	0.833333333333333	0.939393939393939	0.8	0.789473684210526	0.84375	0.782608695652174	0.888888888888889	0.717948717948718	0.869565217391304	0.692307692307692	0.65625
