Sample	ReadCount
SAMPLE_1	28725
SAMPLE_10	284527
SAMPLE_11	473213
SAMPLE_12	229234
SAMPLE_13	262305
SAMPLE_14	493633
SAMPLE_15	189833
SAMPLE_16	111337
SAMPLE_17	326564
SAMPLE_18	173138
SAMPLE_19	441943
SAMPLE_2	357925
SAMPLE_20	239978
SAMPLE_21	230288
SAMPLE_22	237944
SAMPLE_23	12635
SAMPLE_24	46055
SAMPLE_25	246318
SAMPLE_26	304138
SAMPLE_27	421581
SAMPLE_28	405123
SAMPLE_29	192828
SAMPLE_3	462651
SAMPLE_30	441628
SAMPLE_31	295249
SAMPLE_32	174495
SAMPLE_33	118910
SAMPLE_34	242667
SAMPLE_35	11196
SAMPLE_4	230389
SAMPLE_5	414224
SAMPLE_6	163101
SAMPLE_7	89128
SAMPLE_8	252743
SAMPLE_9	261134
