Species	tax_id	organism_name	Genus	Family	Order	Class	Phylum	Kingdom	Domain	pathogen_status	sum	SAMPLE_1	SAMPLE_10	SAMPLE_11	SAMPLE_12	SAMPLE_13	SAMPLE_14	SAMPLE_15	SAMPLE_16	SAMPLE_17	SAMPLE_18	SAMPLE_19	SAMPLE_2	SAMPLE_20	SAMPLE_21	SAMPLE_22	SAMPLE_23	SAMPLE_24	SAMPLE_25	SAMPLE_26	SAMPLE_27	SAMPLE_28	SAMPLE_29	SAMPLE_3	SAMPLE_30	SAMPLE_31	SAMPLE_32	SAMPLE_33	SAMPLE_34	SAMPLE_35	SAMPLE_4	SAMPLE_5	SAMPLE_6	SAMPLE_7	SAMPLE_8	SAMPLE_9
Acidovorax facilis	12917	Acidovorax facilis	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	NA	0.001023918	0	0	0	0	0	0	0	0.001023918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. TR11	3003393	Acinetobacter sp. TR11	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	NA	0.000933252	0	0	0	0	0	0	0	0	0.000388743	0	0	0	0	0	0	0	0	0.000385158	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000159351	0	0	0
Actinomarinicola tropica	2789776	Actinomarinicola tropica	Actinomarinicola	Iamiaceae	Acidimicrobiales	Acidimicrobiia	Actinomycetota	Bacillati	Bacteria	NA	0.001459616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000158118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001301499	0	0
Aeromonas allosaccharophila	656	Aeromonas allosaccharophila	Aeromonas	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	pathogen	0.000691704	0	0	2.23E-05	0	0	0	0	0	6.97E-05	0	0	0	0	0	0	0	0	4.45E-05	0	0	0	0	0	0	0	0.000272946	0.000282252	0	0	0	0	0	0	0	0
Aeromonas caviae	648	Aeromonas caviae	Aeromonas	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	pathogen	4.15837E-05	0	0	0	0	0	0	0	0	4.16E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aeromonas encheleia	73010	Aeromonas encheleia	Aeromonas	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	pathogen	0.000585008	0	0	4.71E-05	0	0	2.29E-05	0	0	3.84E-05	0	0	0	0	0	0	0	0	0.000142444	0	0	0	0	0.000205488	0	0	0	0	0	0	0	8.91E-05	0	0	0	3.96E-05
Aeromonas hydrophila	644	Aeromonas hydrophila	Aeromonas	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	pathogen	0.001547551	0	0	0.000893309	0	0	0.000126407	0	0	0.000105573	0	0	0	0	0	0	0	0	7.83E-05	0	0	0	0	0.0002532	0	0	0	0	0	0	0	9.08E-05	0	0	0	0
Aeromonas media	651	Aeromonas media	Aeromonas	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	pathogen	9.53404E-05	0	0	2.73E-05	6.81E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aeromonas popoffii	70856	Aeromonas popoffii	Aeromonas	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	NA	0.000193524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000193524	0	0	0	0	0	0	0
Aeromonas rivipollensis	948519	Aeromonas rivipollensis	Aeromonas	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	NA	9.93032E-05	0	0	3.42E-05	0	0	6.51E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
